tweet,label
"RT @LilMissRightie: Here's CNN on Sharia law. You can be stoned or have your hands cut off, but... ""But""? There no ""but"" here @CNN . https:…",y2016
RT @NetworksManager: LOOK obama Clinton cronies ILLEGALLY arm &amp; train muslims terrorist including isis #IMPEACHobama STOP US islamic coup h…,y2016
RT @GrrrGraphics: #ThrowbackThursday #BenGarrison #cartoon from 2013 #Obama gets crowned #War #Debt #Taxes #Obamacare https://t.co/Oj98iIxE…,y2016
"RT @PeterTownsend7: Say 'Islam is peace', or else!  #trump #maga #isis #tcot https://t.co/QMceoHkrq2  https://t.co/EEtVbQhVBO",y2016
RT @ToddDracula: @realDonaldTrump All aboard the Trump Train! #ChooChoo 🚂 https://t.co/4K0BliyGF7,y2016
RT @JudicialWatch: FLASHBACK &gt;&gt; Judicial Watch Releases Huma Abedin Deposition Testimony https://t.co/5BhAiFWcLN,y2016
"RT @LouDobbs: Following FBI presser, @realDonaldTrump says “the system is rigged!” @CharlesHurt &amp; @KellyannePolls weigh in #FoxLDT 7pm",y2016
"RT @Ricky_Vaughn99: Trump: ""We're Running Against a Rigged Press"" https://t.co/W9kruDIiiz",y2016
"RT @mitchellvii: Literally 98% of Hillary supporters I see online are astroturfed spammers with 12,000 comments and 100 followers.",y2016
"RT @ClarkW2016: @ConstantinCI @CathyTo47590555 
Islam. ... https://t.co/8FwZCyz0Ld",y2016
"RT @MightyBusterBro: .
PSYCHO - MOTHER
Hillary at her most EVIL.

#MAGA  #BasketOfDeplorables #NeverHillary
#TrumpSWFL #Trump #trumptrain h…",y2016
"RT @ThomasPKennedy3: The unthinkable has happened in Dallas.
Please pray for our fallen and wounded officers and their families. https://t.…",y2016
"RT @Bellajane127: #ClintonsMemory
ALL LIES &amp; CORRUPTION!
WAKE UP #Hillary supporters &amp; #NeverTrump! 
HILLARY IS THE DANGEROUS ONE! https://…",y2016
RT @realDonaldTrump: A very interesting take from @KatiePavlich: https://t.co/XaM9yEYCHL,y2016
RT @EvelynGarone: Things like THIS are why WE #BoycottCNN FOREVER! How CNN Muzzled Victims' Voices at Republican National Convention https:…,y2016
